origin_id,dest_id,trip_key,distance,time_secs
ECSORD,EC2ORD,ECSORD_EC2ORD,69.23066873078102,51.510914234212066
USPEGR,UMB2EGR,USPEGR_UMB2EGR,90.01214936416201,66.9733254197634
IBS2IOK,EVB2IOK,IBS2IOK_EVB2IOK,371.78998907029927,276.62945615349645
ACRIOK,2URIOK,ACRIOK_2URIOK,486.01611696093477,361.6191346435526
BRJ2IOK,BWJ2IOK,BRJ2IOK_BWJ2IOK,486.3895787062055,361.89700796592666
OGGORD,OGB2ORD,OGGORD_OGB2ORD,487.89091520877196,363.01407381605054
ZPB2ORD,OBJ2ORD,ZPB2ORD_OBJ2ORD,491.12646428723167,365.42147640419023
2UR2IOK,ACR2IOK,2UR2IOK_ACR2IOK,491.411197293526,365.6333313195878
MJEGR,EJ2EGR,MJEGR_EJ2EGR,494.1770314513117,367.6912436393688
ERJEGR,ADS2ORD,ERJEGR_ADS2ORD,499.5816553448625,371.71254117921313
BHPEGR,USJ2EGR,BHPEGR_USJ2EGR,499.65455698524886,371.7667834711673
1FR2IOK,OSORD,1FR2IOK_OSORD,499.93833730300224,371.97792954092426
